bismillah, 1111100000011001011101110

bismillah allahuakbar, 00101101011101101111111110000110011011111110000010010110000011011010

berigood is good, 000100000011110111010110010111000101011110101100

arab gila, 111001100000101101010111

arab baik, 1101011100011011000011

rama, 001011

arbeni, 1010010011101110

av, 10

Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula, porttitor eu, consequat vitae, eleifend ac, enim. Aliquam lorem ante, dapibus in, viverra quis, feugiat a, tellus. Phasellus viverra nulla ut metus varius laoreet. Quisque rutrum. Aenean imperdiet. Etiam ultricies nisi vel augue. Curabitur ullamcorper ultricies nisi. Nam eget dui. Etiam rhoncus. Maecenas tempus, tellus eget condimentum rhoncus, sem quam semper libero, sit amet adipiscing sem neque sed ipsum. N, 0000100001100011001010111111011110111101100111011111110111110011000000111000110011011001111010001010111111110101000001001010110011000001110010100110010000101000110101011001101011111110011101111011110100101100111000110110101010100001111010000000010100001100100011010011100111010110011000111111111111000111100110001010001111001101011010001011110101001101001010001011111001100000011100011001000001010000110010001101001110011101111110111100110010111000001010000111011011111110110011100001100111011101001101001101111000110000010111101010101111101010001101111000111001101111110110011010101000101111110111011010001111101001101111100111010011011111010111110011000110111001111001000111000101111111100000111000010100100100101001101111001011000101000110111001101110011110111100111001100110100011101100110111111110110010000010100001111111000001101001100101001011110101111111110100001010100001111010010010010111010001100011001111001100111001010011010011010011000010010111110101000010001010001110000101001001011110101010101011010010010111

akimilaku 0, 111011100011101010111010001001011

